Controller,Goals,Success Rate,Spills,Obstacle Hits,Mean Peak Slosh (mm),Mean Min. Goal Distance (m),Mean Reward,Intervention Rate
PD,0,0.0,30,0,7.776683995228793,0.6395540821322384,-52.77218243663194,0.0
PD + Safety,17,56.666666666666664,0,13,3.5493314348697336,0.25663595183403093,23.46311229793587,91.69009840363961
PPO,1,3.3333333333333335,0,29,0.4294431763777089,0.4095357920500896,-42.91180203910536,0.0
PPO + Safety,16,53.333333333333336,0,14,3.006590114780559,0.2792785603309066,1.1352455003390531,38.90718430913597
