controller,step,time_s,intervened,nominal_u1,nominal_u2,nominal_u3,executed_u1,executed_u2,executed_u3,action_change_norm,slosh_mm,distance_to_goal_m
PPO + BRT,44,0.4500,0,-0.3947064,0.0691030,0.1420682,-0.3947064,0.0691030,0.1420682,0.0000000,0.56563,0.610825
PPO + BRT,45,0.4600,0,-0.3923134,0.0729211,0.1445813,-0.3923134,0.0729211,0.1445813,0.0000000,0.56957,0.610103
PPO + BRT,46,0.4700,0,-0.3899384,0.0771825,0.1467526,-0.3899384,0.0771825,0.1467526,0.0000000,0.56612,0.609368
PPO + BRT,47,0.4800,0,-0.3876952,0.0816322,0.1484870,-0.3876952,0.0816322,0.1484870,0.0000000,0.55566,0.608621
PPO + BRT,48,0.4900,0,-0.3857522,0.0859996,0.1497183,-0.3857522,0.0859996,0.1497183,0.0000000,0.53883,0.607860
PPO + BRT,49,0.5000,0,-0.3843041,0.0900173,0.1504088,-0.3843041,0.0900173,0.1504088,0.0000000,0.51650,0.607088
PPO + BRT,50,0.5100,0,-0.3835381,0.0934424,0.1505469,-0.3835381,0.0934424,0.1505469,0.0000000,0.48971,0.606303
PPO + BRT,51,0.5200,0,-0.3836049,0.0960746,0.1501418,-0.3836049,0.0960746,0.1501418,0.0000000,0.45963,0.605506
PPO + BRT,52,0.5300,0,-0.3845966,0.0977694,0.1492179,-0.3845966,0.0977694,0.1492179,0.0000000,0.42753,0.604697
PPO + BRT,53,0.5400,0,-0.3865358,0.0984438,0.1478091,-0.3865358,0.0984438,0.1478091,0.0000000,0.39473,0.603877
PPO + BRT,54,0.5500,0,-0.3893726,0.0980763,0.1459551,-0.3893726,0.0980763,0.1459551,0.0000000,0.36253,0.603044
PPO + BRT,55,0.5600,0,-0.3929893,0.0967008,0.1437001,-0.3929893,0.0967008,0.1437001,0.0000000,0.33217,0.602200
PPO + BRT,56,0.5700,0,-0.3972093,0.0943984,0.1410942,-0.3972093,0.0943984,0.1410942,0.0000000,0.30478,0.601343
PPO + BRT,57,0.5800,0,-0.4018095,0.0912877,0.1381968,-0.4018095,0.0912877,0.1381968,0.0000000,0.28130,0.600475
PPO + BRT,58,0.5900,0,-0.4065365,0.0875143,0.1350788,-0.4065365,0.0875143,0.1350788,0.0000000,0.26252,0.599595
PPO + BRT,59,0.6000,0,-0.4111277,0.0832416,0.1318259,-0.4111277,0.0832416,0.1318259,0.0000000,0.24895,0.598702
PPO + BRT,60,0.6100,0,-0.4153354,0.0786427,0.1285368,-0.4153354,0.0786427,0.1285368,0.0000000,0.24085,0.597797
PPO + BRT,61,0.6200,0,-0.4189534,0.0738922,0.1253201,-0.4189534,0.0738922,0.1253201,0.0000000,0.23823,0.596879
PPO + BRT,62,0.6300,0,-0.4218381,0.0691600,0.1222865,-0.4218381,0.0691600,0.1222865,0.0000000,0.24084,0.595949
PPO + BRT,63,0.6400,0,-0.4239238,0.0646046,0.1195411,-0.4239238,0.0646046,0.1195411,0.0000000,0.24818,0.595006
PPO + BRT,64,0.6500,0,-0.4252226,0.0603673,0.1171741,-0.4252226,0.0603673,0.1171741,0.0000000,0.25962,0.594050
PPO + BRT,65,0.6600,0,-0.4258127,0.0565669,0.1152538,-0.4258127,0.0565669,0.1152538,0.0000000,0.27433,0.593082
PPO + BRT,66,0.6700,0,-0.4258183,0.0532953,0.1138220,-0.4258183,0.0532953,0.1138220,0.0000000,0.29145,0.592101
PPO + BRT,67,0.6800,0,-0.4253844,0.0506161,0.1128919,-0.4253844,0.0506161,0.1128919,0.0000000,0.31002,0.591108
PPO + BRT,68,0.6900,0,-0.4246548,0.0485639,0.1124485,-0.4246548,0.0485639,0.1124485,0.0000000,0.32913,0.590102
PPO + BRT,69,0.7000,0,-0.4237558,0.0471465,0.1124515,-0.4237558,0.0471465,0.1124515,0.0000000,0.34787,0.589084
PPO + BRT,70,0.7100,0,-0.4227883,0.0463472,0.1128391,-0.4227883,0.0463472,0.1128391,0.0000000,0.36543,0.588054
PPO + BRT,71,0.7200,0,-0.4218260,0.0461280,0.1135337,-0.4218260,0.0461280,0.1135337,0.0000000,0.38109,0.587012
PPO + BRT,72,0.7300,0,-0.4209197,0.0464316,0.1144468,-0.4209197,0.0464316,0.1144468,0.0000000,0.39426,0.585958
PPO + BRT,73,0.7400,0,-0.4201053,0.0471838,0.1154861,-0.4201053,0.0471838,0.1154861,0.0000000,0.40449,0.584892
PPO + BRT,74,0.7500,0,-0.4194116,0.0482949,0.1165596,-0.4194116,0.0482949,0.1165596,0.0000000,0.41148,0.583815
PPO + BRT,75,0.7600,0,-0.4188685,0.0496624,0.1175808,-0.4188685,0.0496624,0.1175808,0.0000000,0.41507,0.582726
PPO + BRT,76,0.7700,0,-0.4185113,0.0511745,0.1184723,-0.4185113,0.0511745,0.1184723,0.0000000,0.41527,0.581626
PPO + BRT,77,0.7800,0,-0.4183821,0.0527151,0.1191679,-0.4183821,0.0527151,0.1191679,0.0000000,0.41220,0.580515
PPO + BRT,78,0.7900,0,-0.4185273,0.0541690,0.1196145,-0.4185273,0.0541690,0.1196145,0.0000000,0.40612,0.579392
PPO + BRT,79,0.8000,0,-0.4189918,0.0554285,0.1197722,-0.4189918,0.0554285,0.1197722,0.0000000,0.39740,0.578258
PPO + BRT,80,0.8100,0,-0.4198129,0.0564001,0.1196143,-0.4198129,0.0564001,0.1196143,0.0000000,0.38651,0.577114
PPO + BRT,81,0.8200,0,-0.4210140,0.0570087,0.1191269,-0.4210140,0.0570087,0.1191269,0.0000000,0.37396,0.575958
PPO + BRT,82,0.8300,0,-0.4225990,0.0572021,0.1183074,-0.4225990,0.0572021,0.1183074,0.0000000,0.36032,0.574792
PPO + BRT,83,0.8400,0,-0.4245490,0.0569523,0.1171642,-0.4245490,0.0569523,0.1171642,0.0000000,0.34619,0.573614
PPO + BRT,84,0.8500,0,-0.4268219,0.0562559,0.1157158,-0.4268219,0.0562559,0.1157158,0.0000000,0.33214,0.572426
PPO + BRT,85,0.8600,0,-0.4293541,0.0551321,0.1139904,-0.4293541,0.0551321,0.1139904,0.0000000,0.31873,0.571227
PPO + BRT,86,0.8700,0,-0.4320641,0.0536200,0.1120249,-0.4320641,0.0536200,0.1120249,0.0000000,0.30645,0.570017
PPO + BRT,87,0.8800,0,-0.4348592,0.0517741,0.1098650,-0.4348592,0.0517741,0.1098650,0.0000000,0.29574,0.568795
PPO + BRT,88,0.8900,0,-0.4376426,0.0496608,0.1075636,-0.4376426,0.0496608,0.1075636,0.0000000,0.28693,0.567563
PPO + BRT,89,0.9000,0,-0.4403208,0.0473539,0.1051793,-0.4403208,0.0473539,0.1051793,0.0000000,0.28028,0.566320
PPO + BRT,90,0.9100,0,-0.4428117,0.0449309,0.1027738,-0.4428117,0.0449309,0.1027738,0.0000000,0.27593,0.565066
PPO + BRT,91,0.9200,0,-0.4450507,0.0424690,0.1004097,-0.4450507,0.0424690,0.1004097,0.0000000,0.27391,0.563800
PPO + BRT,92,0.9300,0,-0.4469962,0.0400427,0.0981460,-0.4469962,0.0400427,0.0981460,0.0000000,0.27416,0.562523
PPO + BRT,93,0.9400,0,-0.4486305,0.0377200,0.0960359,-0.4486305,0.0377200,0.0960359,0.0000000,0.27653,0.561235
PPO + BRT,94,0.9500,0,-0.4499592,0.0355611,0.0941228,-0.4499592,0.0355611,0.0941228,0.0000000,0.28075,0.559936
PPO + BRT,95,0.9600,0,-0.4510077,0.0336154,0.0924391,-0.4510077,0.0336154,0.0924391,0.0000000,0.28652,0.558626
