controller,step,time_s,intervened,nominal_u1,nominal_u2,nominal_u3,executed_u1,executed_u2,executed_u3,action_change_norm,slosh_mm,distance_to_goal_m
PD + BRT,43,0.4400,1,-4.0401239,-0.2020559,1.2496892,-0.4377164,-0.1742155,0.1045432,3.7801421,0.33963,0.574902
PD + BRT,44,0.4500,1,-4.0196619,-0.1976095,1.2456510,-0.4115777,-0.1505028,0.0950843,3.7873862,0.31378,0.573043
PD + BRT,45,0.4600,1,-3.9999690,-0.1938317,1.2418847,-0.3903305,-0.1293740,0.0856444,3.7908490,0.29562,0.571177
PD + BRT,46,0.4700,1,-3.9809046,-0.1906505,1.2383914,-0.3724498,-0.1110465,0.0772552,3.7915063,0.28250,0.569307
PD + BRT,47,0.4800,1,-3.9623728,-0.1879861,1.2351418,-0.3589293,-0.0955448,0.0699115,3.7882860,0.27139,0.567433
PD + BRT,48,0.4900,1,-3.9442444,-0.1857580,1.2321069,-0.3483562,-0.0827708,0.0638789,3.7822976,0.25983,0.565556
PD + BRT,49,0.5000,1,-3.9264369,-0.1838876,1.2292479,-0.3409936,-0.0723937,0.0582856,3.7734582,0.24636,0.563677
PD + BRT,50,0.5100,1,-3.9088521,-0.1823059,1.2265534,-0.3344222,-0.0642691,0.0535585,3.7638278,0.23071,0.561797
PD + BRT,51,0.5200,1,-3.8914711,-0.1809475,1.2239988,-0.3280522,-0.0580426,0.0492064,3.7540908,0.21383,0.559916
PD + BRT,52,0.5300,1,-3.8742871,-0.1797573,1.2215735,-0.3210706,-0.0534935,0.0455409,3.7449088,0.19779,0.558034
PD + BRT,53,0.5400,1,-3.8573210,-0.1786866,1.2192575,-0.3143981,-0.0502745,0.0414527,3.7357755,0.18577,0.556152
PD + BRT,54,0.5500,1,-3.8405638,-0.1776963,1.2170647,-0.3062972,-0.0482593,0.0382863,3.7279098,0.18137,0.554271
PD + BRT,55,0.5600,1,-3.8240602,-0.1767511,1.2149682,-0.2983516,-0.0471446,0.0350441,3.7201669,0.18717,0.552390
PD + BRT,56,0.5700,1,-3.8078067,-0.1758248,1.2129709,-0.2903752,-0.0467272,0.0318916,3.7126727,0.20327,0.550510
PD + BRT,57,0.5800,1,-3.7918065,-0.1748967,1.2110704,-0.2821820,-0.0469231,0.0299422,3.7052538,0.22742,0.548631
PD + BRT,58,0.5900,1,-3.7760663,-0.1739486,1.2092317,-0.2758823,-0.0474032,0.0280722,3.6962738,0.25648,0.546755
PD + BRT,59,0.6000,1,-3.7605314,-0.1729723,1.2074523,-0.2702664,-0.0480766,0.0272910,3.6865063,0.28745,0.544881
PD + BRT,60,0.6100,1,-3.7451820,-0.1719618,1.2057002,-0.2666568,-0.0487404,0.0274721,3.6747165,0.31795,0.543009
PD + BRT,61,0.6200,1,-3.7299600,-0.1709174,1.2039464,-0.2649521,-0.0491984,0.0285565,3.6609609,0.34607,0.541141
PD + BRT,62,0.6300,1,-3.7148075,-0.1698453,1.2021638,-0.2646358,-0.0492872,0.0307346,3.6456091,0.37041,0.539275
PD + BRT,63,0.6400,1,-3.6996844,-0.1687568,1.2003195,-0.2662188,-0.0487978,0.0332873,3.6283660,0.38988,0.537412
PD + BRT,64,0.6500,1,-3.6845322,-0.1676690,1.1984018,-0.2692451,-0.0477077,0.0364499,3.6095302,0.40376,0.535551
PD + BRT,65,0.6600,1,-3.6693072,-0.1666005,1.1963921,-0.2733082,-0.0458979,0.0399483,3.5895321,0.41159,0.533693
PD + BRT,66,0.6700,1,-3.6539783,-0.1655730,1.1942786,-0.2775364,-0.0433906,0.0435736,3.5692310,0.41322,0.531838
PD + BRT,67,0.6800,1,-3.6385393,-0.1646082,1.1920577,-0.2814946,-0.0401072,0.0465704,3.5492802,0.40879,0.529984
PD + BRT,68,0.6900,1,-3.6229973,-0.1637298,1.1897475,-0.2840286,-0.0362905,0.0497588,3.5305138,0.39874,0.528132
PD + BRT,69,0.7000,1,-3.6073935,-0.1629548,1.1873412,-0.2857575,-0.0318868,0.0516397,3.5128708,0.38376,0.526282
PD + BRT,70,0.7100,1,-3.5917523,-0.1623013,1.1848780,-0.2850915,-0.0271577,0.0528817,3.4976687,0.36477,0.524433
PD + BRT,71,0.7200,1,-3.5761440,-0.1617802,1.1823764,-0.2824804,-0.0222823,0.0535525,3.4845262,0.34287,0.522586
PD + BRT,72,0.7300,1,-3.5606277,-0.1613971,1.1798531,-0.2787613,-0.0173404,0.0526321,3.4730430,0.31924,0.520740
PD + BRT,73,0.7400,1,-3.5452373,-0.1611550,1.1773555,-0.2736306,-0.0126640,0.0514160,3.4631200,0.29502,0.518897
PD + BRT,74,0.7500,1,-3.5300155,-0.1610468,1.1748936,-0.2670607,-0.0083388,0.0493260,3.4550102,0.27130,0.517056
PD + BRT,75,0.7600,1,-3.5150061,-0.1610631,1.1724930,-0.2602249,-0.0045845,0.0472811,3.4473453,0.24895,0.515217
PD + BRT,76,0.7700,1,-3.5002179,-0.1611878,1.1701529,-0.2536279,-0.0014197,0.0446653,3.4398541,0.22863,0.513382
PD + BRT,77,0.7800,1,-3.4856460,-0.1614039,1.1678910,-0.2474646,0.0010448,0.0420384,3.4321642,0.21071,0.511549
PD + BRT,78,0.7900,1,-3.4712772,-0.1616910,1.1657088,-0.2418629,0.0028669,0.0391729,3.4242198,0.19540,0.509721
PD + BRT,79,0.8000,1,-3.4570968,-0.1620306,1.1636131,-0.2356416,0.0039503,0.0368014,3.4168742,0.18283,0.507896
PD + BRT,80,0.8100,1,-3.4431238,-0.1624006,1.1615900,-0.2306996,0.0044874,0.0341475,3.4086139,0.17319,0.506076
PD + BRT,81,0.8200,1,-3.4293213,-0.1627852,1.1596479,-0.2257244,0.0044279,0.0318990,3.4004133,0.16680,0.504260
PD + BRT,82,0.8300,1,-3.4156904,-0.1631662,1.1577759,-0.2207824,0.0039204,0.0297392,3.3923182,0.16415,0.502449
